,Image,Acc,F1,Jaccard,Recall,Precision
0,01_test,0.7401885986328125,0.002343704224526865,0.001173226960755558,0.009094009321359554,0.0013451934556338383
1,02_test,0.7333755493164062,0.001713942925700574,0.0008577064928381508,0.005445140212360468,0.0010170353419781336
2,03_test,0.7259330749511719,0.07278828160289087,0.03776870019420076,0.2612078547610226,0.042285834245527745
3,04_test,0.7321929931640625,0.02786086185886784,0.014127229321724477,0.10303154444899632,0.01610837122910395
4,05_test,0.7297210693359375,0.0353710006807352,0.018003908469737078,0.13775185577942736,0.02029053420805998
5,06_test,0.7406158447265625,0.0033711488288922114,0.0016884203726270353,0.011930698205208009,0.0019628927919162955
6,07_test,0.7160072326660156,0.03203702981368074,0.016279284874271594,0.1331172339276067,0.01820976705687596
7,08_test,0.7368659973144531,0.030335830861576953,0.01540152445116903,0.12207263265075234,0.017319978169443643
8,09_test,0.7446403503417969,0.0005673420027172695,0.0002837514934289128,0.002417302798982188,0.0003213856797307126
9,10_test,0.7339439392089844,0.053162460460759425,0.027307086174915972,0.2422068283028204,0.029858029492047515
10,11_test,0.7376365661621094,0.013511381402487126,0.0068016404805914974,0.05534665099882491,0.007694946821545851
11,12_test,0.7457771301269531,0.01962428468452565,0.009909374535730204,0.07632452225655109,0.011259664404605152
12,13_test,0.7430953979492188,0.0032265703629151617,0.0016158920761989474,0.011112243857681722,0.0018872824863648168
13,14_test,0.7434005737304688,0.008139432009201098,0.004086346273429866,0.03453021393719505,0.004613455913079816
14,15_test,0.5546112060546875,0.041175987517450933,0.02102076922431936,0.3592719977070794,0.02183950101052338
15,16_test,0.7406349182128906,0.001321954730394677,0.0006614145452407549,0.004934751617501919,0.0007632034191513178
16,17_test,0.7429389953613281,0.0,0.0,0.0,0.0
17,18_test,0.7441940307617188,2.9824038174768865e-05,1.4912241459013705e-05,0.00012344155042587335,1.696093895758069e-05
18,19_test,0.7337532043457031,0.06349376735948047,0.03278779396072671,0.2981350806451613,0.0355303269210554
19,20_test,0.7461776733398438,0.019596864501679735,0.009895391574780888,0.09220743205768164,0.01096346610393036
